"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"2782","256.93092_5.279",-0.405465108108165,0.405465108108164,1.38629436111989,-0.916290731874156,-1.38629436111989,-1.04982212449868,1.6094379124341,-1.09861228866811
"2783","257.01805_4.864",0.28768207245178,0.693147180559945,0.916290731874154,1.94591014905531,3.55534806148941,1.38629436111989,3.80666248977032,1.89711998488588
"2784","257.07219_4.463",2.59026716544583,3.91202300542815,3.91202300542815,-0.916290731874156,-1.38629436111989,-0.693147180559944,-1.6094379124341,0.847297860387203
"2785","257.07222_5.541",-1.09861228866811,3.91202300542815,-2.99573227355399,-0.916290731874156,-0.79850769621777,-0.693147180559944,1.6094379124341,0.847297860387203
"2786","257.10045_3.106",1.20397280432594,0.405465108108164,0.405465108108164,1.38629436111989,1.38629436111989,1.50407739677627,0.405465108108164,2.81341071676004
"2787","257.10052_2.468",0.28768207245178,-0.798507696217772,-0.693147180559945,0.693147180559944,0.405465108108165,0.693147180559945,-0.916290731874156,0.693147180559945
"2788","257.10115_6.57",-0.405465108108165,-0.693147180559945,1.6094379124341,-0.105360515657827,-0.693147180559944,0,1.6094379124341,1.20397280432594
"2789","257.10133_3.683",0.693147180559945,-1.6094379124341,-1.38629436111989,-0.510825623765992,0,-0.693147180559944,-1.38629436111989,1.20397280432594
"2790","257.10206_11.749",-1.79175946922805,-2.30258509299405,-1.89711998488588,-2.30258509299405,-2.99573227355399,-2.99573227355399,1.38629436111989,4.19970507787993
"2791","257.11907_7.523",-1.09861228866811,-2.99573227355399,-2.99573227355399,-0.510825623765992,-1.38629436111989,-1.6094379124341,-1.89711998488588,-1.20397280432594
"2792","257.13123_1.288",1.20397280432594,2.30258509299405,1.6094379124341,5.29831736654804,5.01063529409626,3.80666248977032,0.693147180559945,-0.405465108108165
"2793","257.13658_8.287",0.51082562376599,-0.916290731874156,-2.30258509299405,1.6094379124341,1.09861228866811,1.09861228866811,-2.99573227355399,-1.09861228866811
"2794","257.13684_9.496",2.30258509299405,2.30258509299405,1.6094379124341,1.6094379124341,3.91202300542815,1.09861228866811,4.60517018598809,4.60517018598809
"2795","257.13717_7.222",3.14988295338125,2.99573227355399,2.30258509299405,2.19722457733622,2.30258509299405,1.6094379124341,-1.89711998488588,0
"2796","257.13762_6.368",0.28768207245178,0.693147180559945,2.30258509299405,-1.20397280432594,-0.79850769621777,-0.693147180559944,-1.6094379124341,0.51082562376599
"2797","257.14806_17.413",2.81341071676004,2.30258509299405,2.30258509299405,1.09861228866811,0.405465108108165,0.405465108108165,2.70805020110221,2.81341071676004
"2798","257.16187_9.026",3.28341434600577,0.693147180559945,-0.693147180559945,4.24849524204936,3.68887945411394,3.55534806148941,-0.693147180559945,3.28341434600577
"2799","257.17314_6.747",-1.45528723260684,-2.99573227355399,-2.99573227355399,-0.223143551314211,-0.693147180559944,0.405465108108165,-2.99573227355399,-2.01490302054227
"2800","257.17323_11.909",1.09861228866811,-1.38629436111989,-1.6094379124341,-0.223143551314211,-1.20397280432594,-1.89711998488588,-0.693147180559945,-1.09861228866811
"2801","257.19899_2.451",-0.405465108108165,0.916290731874154,2.70805020110221,0.693147180559944,0,1.25276296849537,-1.89711998488588,0.51082562376599
"2802","257.1992_1.587",2.59026716544583,1.6094379124341,3.55534806148941,-0.223143551314211,-1.04982212449868,-1.04982212449868,-1.38629436111989,-0.405465108108165
"2803","257.2095_7.229",2.59026716544583,3.40119738166216,3.91202300542815,3.40119738166215,3.2188758248682,2.30258509299405,-1.89711998488588,0.51082562376599
"2804","257.20952_9.209",1.20397280432594,1.6094379124341,2.30258509299405,-1.6094379124341,-1.89711998488588,-1.38629436111989,-1.6094379124341,-2.30258509299405
"2805","257.20957_11.204",3.28341434600577,4.60517018598809,4.60517018598809,0.693147180559944,0.693147180559945,1.25276296849537,-2.99573227355399,-2.30258509299405
"2806","258.08577_8.203",-2.70805020110221,-3.10109278921182,-3.50655789731998,-1.6094379124341,-1.89711998488588,-1.89711998488588,-3.10109278921182,-2.30258509299405
"2807","258.09126_1.414",0.28768207245178,-1.04982212449868,-1.89711998488588,0.693147180559944,-0.693147180559944,0,2.30258509299405,1.20397280432594
"2808","258.09557_9.051",-2.70805020110221,-2.99573227355399,-1.6094379124341,-1.6094379124341,-1.89711998488588,-1.38629436111989,-0.693147180559945,-2.01490302054227
"2809","258.12071_12.285",-2.30258509299405,-2.99573227355399,-2.99573227355399,-2.40794560865187,-2.99573227355399,-2.30258509299405,-3.91202300542815,-3.40119738166216
"2810","258.12078_2.028",1.20397280432594,-1.04982212449868,-1.20397280432594,2.07944154167983,1.6094379124341,2.30258509299405,3.80666248977032,4.19970507787993
"2811","258.12087_8.696",-1.09861228866811,-1.89711998488588,-2.99573227355399,0.693147180559944,0,0,3.55534806148941,3.28341434600577
"2812","258.12147_3.2",0.980829253011725,-0.916290731874156,-1.04982212449868,1.09861228866811,0.405465108108165,1.50407739677627,2.30258509299405,2.30258509299405
"2813","258.1216_4.946",1.89711998488588,0,0.405465108108164,1.94591014905531,1.50407739677627,2.30258509299405,5.01063529409625,4.19970507787993
"2814","258.1216_5.626",0.980829253011725,0,-0.916290731874156,1.6094379124341,1.38629436111989,1.50407739677627,3.91202300542815,1.20397280432594
"2815","258.12172_4.436",2.30258509299405,1.6094379124341,1.6094379124341,2.99573227355399,2.70805020110221,2.30258509299405,1.38629436111989,2.59026716544583
"2816","258.1276_1.312",2.81341071676004,3.68887945411394,3.2188758248682,5.7037824746562,6.10924758276436,5.01063529409626,1.6094379124341,1.20397280432594
"2817","258.15853_4.596",1.20397280432594,2.30258509299405,2.30258509299405,2.30258509299405,1.6094379124341,1.25276296849537,4.60517018598809,0.28768207245178
"2818","258.1682_3.784",-0.405465108108165,0.405465108108164,0,-0.693147180559945,-0.916290731874154,-0.693147180559944,-1.89711998488588,-1.09861228866811
"2819","258.1684_11.968",-1.09861228866811,0.693147180559945,0,-1.6094379124341,-0.693147180559944,-0.693147180559944,-3.68887945411394,-2.30258509299405
