group,medium,pathogen,dose,c_num,c_name,auc_luc_div_od,exp_n,DMSO_mean,auc_norm
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,204953.7085029142,70,210645.63318267275,0.9729786723144529
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,175900.1943238898,68,177110.22981399036,0.9931678961098328
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,178052.65780566237,68,177110.22981399036,1.0053211380994864
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,178840.41383422905,68,177110.22981399036,1.009768967168389
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,201662.90671133695,67,197589.58204519405,1.020615078102707
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,199607.9529373706,67,197589.58204519405,1.0102149661499606
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,203275.00029900024,67,197589.58204519405,1.0287738766131191
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,192231.0080219047,67,197589.58204519405,0.9728802805905845
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,206562.93224277924,66,198887.6915708579,1.038590827875273
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,190716.55785315158,63,190057.89500505888,1.003465590566891
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,188346.4336231076,63,190057.89500505888,0.9909950524186026
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,191167.80850759882,63,190057.89500505888,1.005839870543186
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,191121.827793616,63,190057.89500505888,1.0055979405040174
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,191262.13899007783,63,190057.89500505888,1.006336195531298
